4/12/2023,4/13/2023,4/14/2023,4/15/2023,4/16/2023,4/17/2023,4/18/2023,4/19/2023,4/20/2023,4/21/2023,4/22/2023,4/23/2023,4/24/2023,4/25/2023,4/26/2023,4/27/2023,4/28/2023,4/29/2023,4/30/2023,5/1/2023,5/2/2023,5/3/2023,5/4/2023,5/5/2023,5/6/2023,5/7/2023,5/8/2023,5/9/2023,5/10/2023,5/11/2023,5/12/2023,5/13/2023,5/14/2023,5/15/2023,5/16/2023,5/17/2023,5/18/2023,5/19/2023,5/20/2023,5/21/2023,5/22/2023,5/23/2023,5/24/2023,5/25/2023,5/26/2023,5/27/2023,5/28/2023,5/29/2023,5/30/2023,5/31/2023,6/1/2023,6/2/2023,6/3/2023,6/4/2023,6/5/2023,6/6/2023,6/7/2023,6/8/2023,6/9/2023,6/10/2023,6/11/2023
0.06,0.06,0.06,0.06,0.00,0.32,0.38,0.32,0.38,0.70,0.32,0.32,0.45,0.32,0.51,2.56,0.32,6.53,2.75,3.84,5.31,3.14,6.21,4.42,0.32,6.78,1.28,0.70,1.60,4.61,11.90,4.03,9.22,0.45,3.26,2.94,1.73,0.26,4.67,0.38,11.39,0.64,0.19,0.70,2.30,0.26,1.66,0.26,0.19,2.82,0.26,1.86,10.94,6.14,5.12,0.26,0.32,7.62,6.40,2.11,3.39
0.06,0.06,0.06,0.06,0.00,0.32,0.38,0.32,0.38,0.70,0.38,0.96,0.51,0.96,1.34,4.42,0.32,7.55,1.92,3.90,1.22,5.12,2.82,4.29,0.32,4.16,1.60,0.38,1.60,3.97,10.88,2.82,7.81,0.45,6.40,3.14,0.90,0.26,4.80,1.98,11.90,0.90,0.19,0.70,4.86,0.26,0.51,0.26,0.19,2.56,0.26,4.16,10.56,3.90,4.99,0.26,1.15,6.27,7.23,4.86,5.44
0.00,0.06,0.06,0.06,0.00,0.32,0.38,0.32,0.38,0.70,0.51,2.05,2.05,1.73,1.79,3.90,0.32,7.42,1.34,1.54,0.32,5.50,2.30,4.10,1.02,0.45,1.73,0.45,3.65,7.17,9.66,3.52,5.95,0.45,6.14,3.07,0.83,0.26,3.39,1.47,7.74,0.51,0.19,1.09,7.81,0.26,0.45,0.26,0.26,2.50,0.26,5.12,11.01,1.79,4.61,0.38,1.79,3.84,4.22,4.16,6.72
0.00,0.06,0.06,0.06,0.13,0.32,0.38,0.38,0.38,2.18,3.39,1.60,2.62,1.66,3.20,5.57,0.32,4.29,1.92,2.05,0.32,5.57,5.63,3.71,1.79,0.58,5.06,0.26,3.07,6.34,13.06,2.62,4.61,0.45,6.02,5.57,0.70,0.26,2.37,0.38,5.44,0.58,0.19,2.24,8.45,0.26,1.47,0.26,0.26,0.70,0.26,4.42,4.93,1.22,3.84,0.38,3.33,1.98,3.97,9.09,6.14
0.00,0.06,0.06,0.13,0.19,0.51,0.38,0.51,0.45,2.69,2.43,3.33,2.37,1.92,3.78,3.39,1.60,4.48,5.50,2.94,0.64,4.61,3.39,5.18,2.05,0.64,5.82,0.26,2.62,4.61,9.34,3.78,4.42,0.45,6.08,4.80,0.83,0.26,1.22,0.38,8.58,0.45,0.19,2.50,10.75,0.26,4.99,0.26,0.26,0.38,0.26,5.63,3.01,2.24,2.75,0.45,5.12,3.01,5.31,7.94,2.88
0.00,0.06,0.06,0.13,0.45,1.79,0.38,1.28,1.60,4.35,3.07,3.97,1.92,2.43,4.54,3.14,1.02,3.20,4.42,4.61,2.37,1.15,3.39,5.50,3.46,0.51,6.40,0.32,1.02,3.14,8.77,4.03,6.21,0.45,3.71,4.99,1.09,0.26,0.58,0.70,13.25,0.45,0.19,4.16,7.87,0.32,8.45,0.26,0.26,0.13,0.26,7.04,0.96,2.50,1.86,1.98,4.10,2.30,5.38,7.55,1.60
0.00,0.06,0.06,0.13,0.45,1.54,1.66,0.83,1.34,3.97,0.96,1.73,0.77,4.42,3.39,2.75,1.86,3.90,5.38,4.10,3.33,0.32,3.52,7.10,1.98,0.45,2.82,0.32,1.02,4.16,9.09,7.10,2.82,0.38,3.71,3.78,0.83,0.26,0.90,2.62,12.16,0.51,0.19,4.16,5.63,0.26,10.18,0.26,0.26,0.32,0.32,6.72,1.34,3.84,5.38,4.67,3.97,3.20,8.19,3.58,1.34
0.06,0.06,0.06,0.13,0.45,0.58,2.30,1.34,0.58,3.33,0.32,5.38,0.58,3.07,0.77,0.32,2.75,1.47,3.58,5.82,3.84,1.54,4.29,4.80,2.88,0.45,2.43,0.32,2.11,3.90,9.54,7.04,5.25,0.45,2.56,5.63,0.45,0.26,2.75,6.40,9.92,0.51,0.19,8.77,5.82,2.24,8.58,0.26,0.26,2.56,0.32,4.86,3.65,5.18,6.34,6.78,4.67,3.84,6.91,1.86,1.09
0.06,0.06,0.06,0.13,0.45,1.98,1.47,1.02,1.28,3.39,0.32,5.89,0.70,3.90,0.32,0.32,6.27,2.05,2.11,3.01,4.22,1.79,5.12,4.80,3.65,0.45,2.75,0.32,1.92,4.22,7.94,5.57,7.62,0.45,1.47,3.58,0.38,0.26,2.50,7.94,6.85,0.64,0.32,7.49,3.84,1.73,9.86,0.26,0.32,3.65,1.47,6.72,6.27,8.38,8.26,9.86,6.14,5.50,5.06,0.26,2.30
0.06,0.06,0.06,0.13,0.45,1.66,2.62,0.83,2.18,2.94,1.41,5.63,0.51,1.98,1.22,1.28,4.16,2.69,3.58,3.84,4.03,2.94,3.90,3.65,2.05,0.45,2.62,0.32,1.98,3.01,4.99,6.53,6.91,0.45,4.80,4.74,0.38,0.32,5.06,5.31,12.61,0.58,1.15,5.82,5.63,2.11,10.56,0.32,0.51,4.03,1.98,7.42,9.98,9.66,8.64,10.75,5.76,4.10,5.25,0.13,5.82
0.06,0.06,0.06,0.13,2.62,0.70,1.66,0.45,1.66,4.48,5.06,3.71,0.51,1.02,2.43,4.93,3.78,1.28,3.97,4.42,3.97,3.58,1.92,6.59,1.98,1.79,2.88,0.51,0.32,3.07,7.23,4.54,5.06,0.38,5.95,4.80,1.47,0.70,3.39,3.65,12.93,0.64,3.52,6.91,5.12,2.37,8.64,2.30,0.51,6.85,2.11,5.38,10.24,15.10,6.40,12.35,5.31,7.23,3.65,0.13,4.54
0.06,0.06,0.06,0.13,3.65,1.02,0.38,0.58,3.07,5.18,4.67,3.01,0.77,0.70,1.47,5.57,4.10,1.47,3.33,3.01,7.36,3.97,5.50,8.26,0.32,1.22,3.78,2.05,1.02,3.97,2.69,3.14,3.65,0.90,3.97,5.25,2.24,2.82,4.67,3.14,11.65,0.45,5.31,7.23,6.08,2.24,8.51,3.01,3.46,4.29,3.07,5.12,7.94,14.21,4.74,9.22,1.79,6.66,3.33,0.13,5.76
0.06,0.06,0.06,0.13,3.01,2.18,0.38,0.45,4.93,4.42,6.02,0.00,2.50,0.45,2.62,6.66,2.69,3.01,1.41,1.73,6.40,4.16,6.27,9.22,0.32,0.96,3.65,4.48,2.11,2.82,2.50,3.14,2.11,0.90,3.46,3.97,2.18,1.54,4.16,3.20,9.28,0.45,8.58,7.10,5.82,3.65,9.15,5.63,5.25,4.22,1.15,5.63,4.99,11.58,6.08,8.64,4.99,5.63,3.65,0.13,4.22
0.06,0.06,0.06,0.13,4.74,1.54,0.38,0.51,2.88,3.90,2.88,0.00,3.97,0.45,1.34,1.92,3.65,3.14,4.67,2.11,8.32,4.22,5.89,7.23,0.90,2.37,4.10,3.52,1.98,2.43,1.09,3.52,2.37,1.66,1.86,6.40,3.26,3.39,2.18,4.35,10.30,1.79,9.28,5.63,6.34,3.84,7.10,6.02,6.66,5.82,2.94,4.54,5.12,10.37,7.30,5.31,2.75,5.89,5.44,0.13,2.69
0.06,0.06,0.06,0.13,3.71,0.64,1.86,0.51,4.22,3.14,1.98,0.00,6.40,0.45,0.32,0.32,3.52,3.71,3.65,1.34,6.85,4.22,5.44,4.22,1.47,1.98,4.03,1.79,3.58,1.60,0.51,3.52,0.51,5.12,2.37,8.00,3.20,4.80,3.07,4.35,13.44,4.22,8.77,8.32,4.42,3.58,9.66,5.12,3.46,5.44,5.38,2.37,4.80,7.81,6.14,5.63,5.63,7.94,5.25,0.26,3.52
0.06,0.06,0.06,0.13,3.14,0.58,3.39,2.24,4.99,3.39,0.90,0.00,4.86,1.22,0.32,0.51,4.67,4.03,5.95,2.05,6.21,3.46,4.22,3.97,1.73,2.50,6.78,3.71,1.92,0.64,0.32,3.84,0.32,2.11,2.11,6.46,1.92,5.76,2.18,5.95,10.24,4.67,9.79,8.06,6.02,3.26,10.50,2.62,4.99,4.93,6.72,1.47,3.65,7.55,7.55,9.15,5.44,8.64,7.10,4.10,3.01
0.06,0.06,0.06,0.13,4.42,2.18,3.58,2.37,5.89,6.27,1.54,0.00,4.54,3.46,0.32,1.15,2.43,0.51,3.33,5.06,4.80,2.18,5.70,2.69,1.92,3.46,8.19,4.10,2.05,1.73,0.32,0.70,2.18,2.37,3.78,6.21,0.58,7.17,2.30,5.18,13.63,5.82,6.34,8.06,3.97,2.18,10.88,2.37,4.22,3.84,6.72,2.37,3.78,6.91,5.38,7.81,5.89,9.73,6.40,6.91,4.42
0.06,0.06,0.06,0.13,5.50,5.76,1.73,4.10,7.74,3.78,1.86,0.00,5.76,6.08,0.32,1.34,1.86,1.60,3.20,2.82,0.90,0.32,5.63,3.58,2.88,3.01,5.76,3.65,2.62,3.71,0.51,0.32,3.46,7.62,6.40,2.94,0.45,10.30,1.09,4.10,11.90,4.10,6.21,11.58,4.35,2.50,9.41,2.56,5.50,5.63,7.17,6.21,1.79,6.59,4.48,6.85,9.22,12.10,11.71,11.26,5.25
0.06,0.06,0.06,0.13,5.63,3.78,0.90,5.70,5.57,4.67,2.75,0.45,2.69,3.90,0.32,1.79,1.66,1.73,4.29,2.62,3.20,0.32,5.95,4.54,2.24,2.62,3.46,2.94,2.37,5.38,1.28,0.32,3.97,5.89,5.38,6.78,1.47,7.94,2.43,4.22,12.74,6.21,6.78,10.69,4.54,1.60,8.58,5.25,7.87,8.19,4.67,5.57,0.90,6.08,3.71,11.90,9.47,9.60,11.07,11.58,4.48
0.06,0.06,0.06,0.13,7.81,6.66,5.06,5.25,7.87,2.82,4.10,2.69,2.82,6.72,0.32,1.54,2.50,2.11,4.99,2.43,6.78,0.58,7.62,3.39,2.69,1.66,2.05,3.52,3.52,5.18,1.54,0.32,6.08,7.81,5.25,4.80,1.86,7.23,2.56,0.70,9.79,6.08,6.02,10.69,4.03,0.70,7.55,4.74,9.86,7.94,5.06,8.70,2.43,6.27,5.57,12.35,10.11,6.21,6.27,11.71,2.88
0.06,0.06,0.06,0.13,7.74,3.97,5.70,6.91,3.78,1.60,3.78,6.08,3.26,3.58,0.32,0.96,6.14,2.30,5.38,4.74,7.55,4.10,8.06,3.97,2.69,0.45,2.82,4.29,3.65,6.85,1.66,0.32,1.79,5.44,6.14,5.44,6.14,7.94,2.37,1.60,7.55,7.23,10.24,9.09,6.72,0.51,7.23,7.23,13.63,6.46,5.12,6.21,6.53,4.16,8.83,10.88,12.35,4.35,10.30,9.86,0.45
0.06,0.06,0.06,0.13,6.66,2.75,5.31,6.02,3.65,1.60,4.67,9.79,3.97,3.46,0.38,0.38,6.21,1.28,9.34,2.82,8.90,5.12,6.53,4.22,3.84,1.60,3.14,3.46,5.76,4.42,1.86,0.90,1.98,5.76,2.56,5.12,8.00,8.96,1.60,1.66,11.20,9.09,9.41,7.81,9.15,2.11,7.87,6.08,12.74,3.90,3.90,7.30,3.78,2.75,5.95,5.89,8.06,2.37,5.70,8.77,0.38
0.06,0.06,0.06,0.13,3.52,3.14,6.98,4.29,6.27,0.96,7.30,10.88,3.58,3.39,1.28,0.32,7.30,4.22,7.68,2.69,6.85,6.72,6.34,4.80,3.78,2.37,3.33,2.75,7.23,4.80,1.47,1.66,3.52,3.97,3.65,3.52,6.40,6.98,0.58,1.60,10.88,7.10,8.83,8.77,9.41,2.94,3.78,9.60,11.78,3.20,4.29,8.19,7.04,4.42,6.72,4.42,9.47,1.79,6.14,5.06,1.28
0.06,0.06,0.06,0.13,0.77,3.90,8.00,3.65,3.33,0.38,10.30,10.62,3.46,4.42,4.48,0.32,8.83,3.39,9.79,1.60,4.74,4.99,6.14,3.97,4.80,2.37,2.30,1.73,3.84,5.76,3.26,1.92,3.14,1.86,3.07,4.29,6.14,5.95,0.45,1.73,7.42,8.83,8.06,6.78,10.50,6.34,2.56,7.55,10.18,2.82,3.65,4.61,4.99,3.65,5.44,3.07,7.74,3.46,2.50,10.11,2.24
0.06,0.06,0.06,0.13,0.38,2.43,8.13,3.07,1.09,0.32,8.64,7.68,3.14,6.78,3.14,0.32,6.66,4.42,6.02,2.11,3.84,3.20,5.82,3.58,7.74,2.11,4.03,2.56,4.35,4.61,6.27,3.01,5.50,1.98,4.67,4.10,3.46,5.25,1.41,3.39,10.05,7.10,7.94,10.94,8.06,6.66,6.53,5.12,5.31,3.26,5.76,5.95,7.17,3.71,3.39,4.16,6.02,5.70,5.89,11.78,4.16
0.00,0.06,0.06,0.13,0.38,3.39,9.47,1.92,2.30,0.32,8.38,2.62,2.18,6.91,6.40,0.70,9.66,4.03,3.01,2.05,4.16,1.98,1.79,2.05,9.66,3.26,4.03,3.58,0.96,3.84,2.69,5.76,2.62,2.43,7.17,6.46,3.90,6.46,1.73,5.12,12.80,4.99,8.51,9.54,5.18,4.80,8.13,4.99,6.72,1.15,6.98,6.85,6.59,9.47,4.54,3.20,8.26,5.50,2.56,4.22,4.35
0.06,0.06,0.06,0.13,0.38,1.47,7.62,5.31,1.28,0.32,4.61,6.59,1.73,5.50,5.57,3.46,6.02,5.38,0.70,2.05,2.30,2.94,2.62,4.67,6.34,5.63,4.42,3.84,0.32,1.60,2.43,4.29,3.01,5.57,7.49,7.87,3.71,3.01,2.05,5.63,15.87,5.63,9.79,9.22,6.78,1.02,6.34,4.54,7.81,1.41,7.81,6.34,4.29,11.39,4.03,4.93,8.06,3.97,2.56,1.98,3.52
0.06,0.06,0.06,0.13,1.34,3.14,3.90,8.45,3.26,0.32,5.12,7.17,2.88,3.20,5.70,3.07,5.76,7.87,0.77,0.96,0.96,3.84,1.79,3.84,7.17,6.08,8.64,5.06,0.32,1.22,7.10,6.34,5.38,5.18,9.02,5.31,2.62,3.01,1.73,4.22,13.18,4.22,6.66,6.72,2.50,2.69,5.12,7.30,7.30,5.06,9.41,9.34,2.94,8.83,4.86,5.06,8.51,4.03,4.61,10.05,3.20
0.06,0.06,0.06,0.13,2.94,3.39,1.98,3.71,2.69,0.38,5.12,7.74,2.30,2.24,2.62,6.34,3.97,10.30,0.51,1.09,0.51,4.42,2.11,4.67,6.40,6.85,6.59,3.39,0.51,1.47,4.80,6.91,2.82,4.35,4.74,5.44,4.10,4.16,4.42,2.37,10.11,3.84,2.11,7.23,3.78,4.99,2.88,8.06,4.74,4.10,6.72,8.51,1.73,11.01,4.67,5.82,10.43,7.10,3.71,8.70,1.79
0.06,0.06,0.06,0.13,4.03,3.90,0.38,2.18,4.10,0.38,3.84,8.70,3.33,2.56,0.64,8.96,1.79,11.39,0.77,1.86,0.51,5.18,1.66,4.67,6.46,5.89,6.72,4.61,2.05,3.97,3.39,6.27,3.78,3.90,2.82,4.29,3.71,5.50,5.31,1.79,8.90,3.90,3.33,6.98,5.76,4.54,3.90,10.62,2.88,4.29,5.89,7.17,2.30,6.78,3.84,6.02,7.94,8.06,2.82,8.64,2.75
0.06,0.06,0.06,0.13,4.54,4.42,0.32,3.07,3.78,0.32,3.58,4.42,3.78,4.42,3.39,8.96,3.01,8.96,1.15,2.05,0.70,4.03,0.32,3.58,4.22,5.44,5.18,5.82,2.05,3.46,3.78,7.62,2.50,1.79,5.44,2.69,3.90,4.48,5.50,2.18,7.42,5.50,4.99,3.20,6.27,3.84,5.38,6.14,2.30,3.78,5.70,4.35,2.69,6.02,6.46,6.08,7.62,8.90,4.54,5.31,3.97
0.06,0.06,0.06,0.13,5.89,3.90,0.51,7.10,4.16,2.24,2.56,7.49,2.56,3.39,4.35,7.49,3.58,9.73,1.66,2.18,1.54,2.94,0.32,5.25,4.29,4.29,2.11,8.38,2.30,3.65,2.69,4.54,2.88,2.11,3.14,3.14,4.35,5.38,5.06,2.24,5.95,8.13,6.85,2.11,7.04,3.58,8.70,6.78,1.09,5.18,3.39,4.61,2.62,7.55,4.03,3.52,3.65,9.47,4.99,6.21,6.98
0.06,0.06,0.06,0.13,5.06,2.05,1.73,9.34,6.72,3.01,1.60,6.91,4.54,4.03,1.54,7.42,1.34,3.07,1.98,0.51,3.65,4.54,1.54,3.20,3.84,4.86,2.43,7.94,2.30,2.69,1.79,3.58,3.20,1.92,3.84,2.88,2.88,3.33,1.66,2.30,4.86,7.62,6.72,3.58,5.63,2.43,10.11,7.49,0.32,3.97,4.22,4.99,3.52,8.83,5.50,3.58,2.94,10.62,6.53,6.66,5.70
0.06,0.06,0.06,0.13,3.01,2.69,2.24,6.40,9.28,4.10,1.92,6.66,5.95,0.96,2.11,5.18,1.47,1.60,1.86,0.51,3.97,5.31,1.73,3.58,3.14,5.25,3.58,6.72,1.47,2.94,3.90,3.26,2.43,1.28,3.33,3.84,3.07,3.97,1.34,1.41,4.48,9.54,6.78,4.86,0.83,3.97,9.47,7.04,0.32,3.78,5.25,5.63,5.57,8.45,6.02,2.37,1.98,9.86,6.14,3.20,4.74
0.06,0.06,0.06,0.13,4.35,2.82,1.47,7.23,10.24,4.74,1.86,6.46,4.74,3.07,1.02,4.42,1.60,1.92,0.00,0.45,3.97,5.76,2.43,2.50,2.05,5.63,4.74,3.97,1.86,3.39,6.21,3.52,4.99,3.01,2.11,3.39,4.16,4.22,2.37,1.41,4.22,5.95,5.95,4.48,3.90,2.69,6.53,6.21,0.32,2.18,4.67,7.81,4.74,4.74,5.12,1.47,3.26,10.82,5.89,1.92,8.64
0.06,0.06,0.06,0.13,2.05,5.06,1.79,3.20,8.58,1.73,0.26,5.12,3.46,2.43,1.60,1.02,1.22,3.58,0.45,1.86,1.86,6.21,4.93,1.28,3.58,4.61,7.49,3.65,1.92,4.16,5.70,3.78,4.22,5.63,4.67,1.41,4.48,5.50,3.46,4.35,4.48,5.44,3.01,7.87,6.40,4.16,2.30,2.11,0.32,2.50,5.18,7.94,4.74,5.44,3.71,2.75,4.48,11.33,6.53,3.84,6.21
0.06,0.06,0.06,0.13,2.75,3.90,2.11,1.92,7.74,0.32,0.45,3.01,1.02,4.86,1.86,0.51,0.32,3.46,0.32,2.43,0.77,3.71,4.42,1.73,4.67,2.11,4.67,3.52,0.83,4.67,5.82,1.98,4.42,7.10,4.67,5.95,4.54,9.66,4.42,6.72,4.29,5.95,5.12,6.02,8.58,4.93,1.54,2.05,0.32,2.43,6.46,7.87,6.21,3.33,0.83,4.86,5.63,14.85,4.10,8.00,5.95
0.06,0.06,0.06,0.13,5.31,3.33,2.75,2.62,3.58,0.32,0.32,1.54,0.51,4.35,1.66,0.32,0.32,4.48,1.60,2.37,3.78,3.39,4.16,2.69,5.57,1.86,7.81,3.01,0.51,5.63,0.45,1.98,3.33,7.94,5.06,6.46,4.29,9.86,3.20,7.23,4.29,5.70,4.22,3.33,8.26,6.21,3.46,1.98,4.54,5.31,8.00,4.16,7.42,3.07,0.32,4.80,5.57,9.22,6.91,9.28,5.31
0.06,0.06,0.06,0.13,5.25,4.93,2.75,2.05,1.98,0.38,1.86,1.15,0.64,3.33,1.34,1.02,0.32,6.08,1.92,3.52,3.65,2.56,2.24,1.02,7.23,1.98,2.75,3.84,0.45,7.30,0.45,1.86,0.51,8.51,6.08,4.93,2.43,11.39,3.39,4.03,4.86,5.50,6.21,5.12,6.66,2.43,3.39,2.82,7.17,4.61,6.66,4.10,9.60,1.54,0.32,5.25,3.33,7.74,6.27,9.09,6.78
0.06,0.06,0.06,0.13,3.97,4.54,3.20,0.70,0.58,0.45,3.14,0.32,1.09,1.47,0.58,4.48,0.83,7.42,1.92,4.54,5.89,2.43,0.38,0.58,4.16,1.47,2.18,5.44,0.64,5.82,0.32,3.39,2.24,9.98,1.92,3.58,3.33,7.68,5.89,2.75,11.07,6.14,4.35,10.11,3.65,2.18,5.63,5.06,7.36,5.18,6.46,4.48,8.00,3.97,0.32,2.11,2.24,6.40,5.50,6.21,6.02
0.06,0.06,0.06,0.13,2.43,4.74,3.52,0.38,0.32,0.58,3.01,0.32,0.96,1.09,0.32,3.20,2.30,4.80,2.24,5.25,3.58,3.26,0.32,1.15,2.50,0.38,1.41,6.02,3.26,2.30,0.32,3.58,2.30,5.70,1.98,0.77,1.86,6.08,4.03,0.58,12.54,7.04,5.25,12.16,1.66,5.12,2.56,2.62,6.27,4.22,4.93,6.27,6.66,4.61,0.32,2.69,1.28,8.13,6.78,3.71,5.76
0.06,0.06,0.06,0.13,0.70,4.67,0.64,0.38,0.32,1.79,4.67,0.32,2.37,1.15,0.32,3.78,1.54,3.58,1.02,5.18,2.37,5.06,0.32,1.28,1.92,0.58,2.18,4.80,3.90,2.50,1.09,3.52,2.62,5.50,0.90,0.64,1.86,4.35,2.88,0.32,10.05,5.76,5.50,9.34,0.51,5.57,6.78,3.39,6.08,4.99,1.66,4.03,1.79,6.59,0.32,2.43,2.94,7.94,8.64,3.46,4.67
0.06,0.06,0.06,0.13,1.02,4.86,0.58,0.32,0.32,2.05,3.14,0.32,2.43,1.86,1.98,1.34,3.97,2.11,0.32,5.12,6.14,8.19,0.32,1.73,1.79,1.47,4.03,3.26,3.84,4.42,1.66,2.50,3.26,7.10,0.70,0.38,1.98,4.22,0.83,0.38,8.26,5.06,6.78,5.95,1.02,5.25,7.81,5.44,3.90,4.99,1.86,5.89,1.09,6.34,0.38,3.65,4.16,9.66,6.78,3.07,3.58
0.06,0.06,0.06,0.13,1.09,3.26,0.32,0.90,0.32,2.88,5.95,0.32,3.26,3.90,3.65,0.32,3.71,0.58,0.32,2.88,5.70,8.00,0.32,1.66,6.08,1.66,5.50,3.33,3.01,4.93,1.15,1.54,2.05,3.46,3.07,0.38,2.24,4.35,1.54,2.88,7.62,4.03,7.17,4.35,1.79,6.27,3.65,4.67,3.90,9.47,3.78,5.25,4.74,4.74,1.34,3.14,8.64,6.08,9.86,4.29,2.05
0.06,0.06,0.06,0.13,0.90,2.82,1.79,2.69,0.32,2.69,5.18,0.38,3.46,3.33,6.91,0.32,4.48,0.58,1.28,4.03,5.44,7.68,0.64,4.67,7.74,1.98,7.87,3.97,0.32,2.88,1.60,1.73,2.24,2.75,4.42,1.79,2.05,4.99,4.48,4.03,10.43,4.10,5.76,3.26,2.30,4.10,5.12,2.11,7.10,13.44,6.14,3.52,6.46,4.93,1.98,6.40,7.94,4.48,10.56,3.84,5.63
0.06,0.06,0.06,0.13,0.58,4.61,2.88,3.90,0.32,1.47,4.80,2.94,3.01,3.07,4.48,0.32,6.53,0.58,3.07,4.99,4.29,3.01,3.01,3.97,9.22,2.82,3.97,6.02,0.32,2.05,2.50,1.41,0.83,0.26,3.97,2.82,1.41,4.99,2.94,3.84,8.00,4.93,3.07,2.62,5.12,4.74,4.42,2.11,6.53,12.48,6.98,6.08,6.85,4.54,3.90,5.50,8.90,6.40,10.82,5.63,6.85
0.06,0.06,0.06,0.13,0.38,4.35,3.26,4.10,1.79,3.71,6.14,3.65,2.37,2.18,3.33,0.32,7.04,3.20,3.20,6.40,3.58,2.05,6.08,4.22,5.95,1.60,4.35,8.00,0.32,0.58,1.73,1.66,0.32,0.32,4.03,3.01,0.45,5.12,2.05,3.84,6.72,4.67,4.54,3.97,5.70,4.86,3.46,1.02,4.03,6.98,9.02,8.32,6.27,5.06,5.25,6.46,6.66,4.54,10.37,5.76,6.27
0.06,0.06,0.06,0.13,0.32,3.71,3.01,4.10,2.11,3.20,1.98,3.46,0.38,0.83,3.97,0.32,7.62,2.24,5.63,4.22,3.01,1.02,4.10,3.90,4.22,2.82,6.02,6.08,0.32,0.64,1.92,2.30,0.32,0.38,0.32,3.01,2.24,4.03,4.29,2.37,7.49,2.62,3.78,6.21,6.40,2.43,5.63,0.58,0.58,6.46,7.36,8.38,6.34,3.65,6.27,6.53,4.93,3.14,6.34,4.22,5.76
0.06,0.06,0.06,0.13,0.90,2.37,3.90,3.78,2.69,1.86,3.71,3.01,2.82,0.45,3.26,0.32,5.44,2.30,4.80,4.86,3.52,1.66,2.11,4.10,2.37,3.26,6.85,4.42,0.58,1.22,1.60,2.56,0.32,3.33,0.32,0.58,2.69,3.71,3.01,2.82,5.82,2.50,6.08,5.44,4.42,2.62,4.48,0.77,0.58,1.66,6.98,9.15,6.27,4.16,6.59,4.93,2.24,2.88,3.52,4.61,2.30